clustername	focusname	focusgroup	domain	subcellular_location	complex	focussubclass	talistnumber	representative	samesetproteins	pname	msexperiment_id	quantanalrun	msruns	mssamples	msfractions	proteinscore	msrank	mw	totalpsm	qupm	qusm	qusmsfiltered	qusmscancelled	means2i	link2fcpage	sumionarea_protein_126	sumionarea_protein_127L	sumionarea_protein_127H	sumionarea_protein_128L	sumionarea_protein_128H	sumionarea_protein_129L	sumionarea_protein_129H	sumionarea_protein_130L	sumionarea_protein_130H	sumionarea_protein_131L	ref_BC_pname	rel_fc_protein_126	rel_fc_protein_127L	rel_fc_protein_127H	rel_fc_protein_128L	rel_fc_protein_128H	rel_fc_protein_129L	rel_fc_protein_129H	rel_fc_protein_130L	rel_fc_protein_130H	rel_fc_protein_131L	ic50	ic50confidence	inhibitn	hill	ic50final	qcval	link2curve	log2_rel_fc_protein_126	log2_rel_fc_protein_127L	log2_rel_fc_protein_127H	log2_rel_fc_protein_128L	log2_rel_fc_protein_128H	log2_rel_fc_protein_129L	log2_rel_fc_protein_129H	log2_rel_fc_protein_130L	log2_rel_fc_protein_130H	log2_rel_fc_protein_131L	deltaconf_126	deltaconf_127L	deltaconf_127H	deltaconf_128L	deltaconf_128H	deltaconf_129L	deltaconf_129H	deltaconf_130L	deltaconf_130H	deltaconf_131L	fractionabundance_126	fractionabundance_127L	fractionabundance_127H	fractionabundance_128L	fractionabundance_128H	fractionabundance_129L	fractionabundance_129H	fractionabundance_130L	fractionabundance_130H	fractionabundance_131L	ms1seqs	ms1intensity	ms1maxminusmin	
PCCB	n/d	n/d	n/d	n/d	n/d	n/d	0	IPI00007247.4	 	P0140713A	46382	QV1_46382	R1	s01	F1	603	1	58216	12	9	10	1	0	0.8779	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46382&cluster_id=1152298&representative=IPI00007247.4	294445755.557	268066591.562	240412117.867	252026754.989	205205286.313	173647682.83	108341915.13	119202058.403	36414957.191	41312868.294	P0140713A	1.0	0.907183	0.817622	0.856104	0.697341	0.589954	0.367495	0.404271	0.123915	0.140274	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	-0.14053448949	-0.290494079062	-0.224142028202	-0.520063787854	-0.761325626106	-1.44420347358	-1.30660537794	-3.01257725756	-2.83368046688	0.0	0.171	0.13	0.111	0.116	0.115	0.066	0.088	0.042	0.044	16.9311610054	15.4143115879	13.8241295669	14.4919921101	11.7996733733	9.98505436304	6.22985515694	6.85433294555	2.09392559264	2.37556429827	9	7.06	0.2401	
MAN2C1	n/d	n/d	n/d	n/d	n/d	n/d	0	IPI00795842.1	 	P0140713A	46382	QV1_46382	R1	s01	F1	64	2	117187	1	1	1	0	0	0.835	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46382&cluster_id=1151347&representative=IPI00795842.1	431854.294	342923.472	340364.785	365116.037	300983.247	278457.669	126111.429	271740.395	72433.047	0.0	P0140713A	1.0	0.794072	0.788147	0.845461	0.696956	0.644795	0.292023	0.629241	0.167726	0.0	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	-0.332658269719	-0.343463358109	-0.242189888335	-0.520860515674	-0.633087538216	-1.77584609332	-0.668315418143	-2.57582174967	n/d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0694451028	13.5543711411	13.453236643	14.4315530407	11.8966445	11.00629995	4.98467224723	10.7407934091	2.86298396606	0.0	1	5.1452	n/d	
C4B	n/d	n/d	C345C, ANATO	n/d	n/d	n/d	0	IPI00418163.3	 	P0140713A	46382	QV1_46382	R1	s01	F1	61	2	192793	3	1	1	2	0	0.886	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46382&cluster_id=1148519&representative=IPI00418163.3	3960422.629	2566192.566	1501004.359	1611149.165	2101999.779	1294044.747	1290005.595	1106319.351	1107658.617	839464.179	P0140713A	1.0	0.647959	0.379001	0.406812	0.530751	0.326744	0.325724	0.279344	0.279682	0.211963	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	-0.626025566296	-1.39972643991	-1.29756585894	-0.91389291054	-1.61376735083	-1.61827807056	-1.83988526176	-1.83814068822	-2.23811564319	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.7895221044	14.7666821664	8.63725294564	9.27106093185	12.0955703253	7.44634200147	7.42309944571	6.36611080837	6.37381736774	4.83054190306	1	5.8911	n/d	
ATP6V1H	n/d	n/d	n/d	n/d	n/d	n/d	0	IPI00296191.1	 	P0140713A	46382	QV1_46382	R1	s01	F1	96	2	55883	1	1	1	0	0	0.777	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46382&cluster_id=21963&representative=IPI00296191.1	2684024.283	3037584.189	2703321.356	2616213.681	1994491.992	1581193.871	678027.672	661124.679	651958.975	670776.295	P0140713A	1.0	1.131728	1.00719	0.974735	0.743098	0.589113	0.252616	0.246318	0.242904	0.249914	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	0.178527261877	0.0103358642795	-0.0369180464362	-0.428375608497	-0.763383705478	-1.98498207655	-2.02140603643	-2.04154184727	-2.00049637248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.5337012817	17.5799174802	15.64538245	15.1412496776	11.5430560776	9.15110694643	3.92406260415	3.82623709427	3.77319088717	3.88209550091	1	5.8482	n/d	
CD70	n/d	n/d	TNF	transmembrane	n/d	n/d	0	IPI00031713.2	 	P0140713A	46382	QV1_46382	R1	s01	F1	217	1	21118	6	4	6	0	0	0.8605	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46382&cluster_id=9309&representative=IPI00031713.2	159219830.618	145203117.738	121551729.421	118560549.767	130575700.875	103927391.022	94431984.625	95331545.936	83838171.048	88479304.899	P0140713A	1.0	0.911966	0.760064	0.744634	0.819989	0.652729	0.593123	0.597428	0.526581	0.555705	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	-0.132948056183	-0.395807191338	-0.425396603716	-0.286323538513	-0.615443956877	-0.753596777487	-0.74316324004	-0.925272627625	-0.847608873777	0.0	0.157	0.134	0.108	0.192	0.154	0.082	0.158	0.062	0.132	13.9529518953	12.724621732	10.6519736067	10.3898467996	11.4427735913	9.10749547911	8.27538211628	8.35421360134	7.3470117578	7.75372942049	4	8.1689	0.9706	
GATM	n/d	n/d	n/d	n/d	n/d	n/d	0	IPI00792191.1	 	P0140713A	46382	QV1_46382	R1	s01	F1	123	1	54198	3	2	2	1	0	0.8475	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46382&cluster_id=38350&representative=IPI00792191.1	24237758.804	20277968.795	16407553.64	16899506.486	14436868.811	8346407.025	6507114.49	5089018.642	2391611.427	3169430.4	P0140713A	1.0	0.836627	0.676942	0.697239	0.595635	0.344356	0.26847	0.209962	0.098673	0.130764	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	-0.257343536856	-0.562895865071	-0.520274826151	-0.747499564535	-1.53802728037	-1.89716721066	-2.25179984972	-3.3412008173	-2.93496268073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.5817699213	17.2192689755	13.9326617085	14.3504090906	12.2592321614	7.08744692308	5.52559064423	4.32139834634	2.03086417889	2.69135805013	2	6.1438	0.9329	
NCKAP1L	n/d	n/d	n/d	transmembrane	n/d	n/d	0	IPI00023407.4	 	P0140713A	46382	QV1_46382	R1	s01	F1	183	1	128153	8	4	4	4	0	0.8035	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46382&cluster_id=1149070&representative=IPI00023407.4	125361194.621	90165276.92	34480237.775	41123020.864	16176436.428	15564842.309	11811231.931	13203521.778	8498416.092	10901120.776	P0140713A	1.0	0.719244	0.275047	0.328036	0.129039	0.12416	0.094218	0.105324	0.067791	0.086958	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	-0.475446813968	-1.86224992762	-1.60807394416	-2.95412093154	-3.00972763225	-3.40785348206	-3.24709387661	-3.88276243732	-3.52353743045	0.0	0.096	0.15	0.146	0.18	0.15	0.152	0.15	0.14	0.206	34.1318301587	24.5491112887	9.38786219391	11.1964788465	4.40432449932	4.23780704821	3.2158194045	3.59489524797	2.31384596762	2.96802534461	4	6.6059	0.2612	
ACCN2	n/d	n/d	n/d	transmembrane	n/d	n/d	0	IPI00293398.3	IPI00796169.2	P0140713A	46382	QV1_46382	R1	s01	F1	45	2	64841	1	1	1	0	0	1.0	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46382&cluster_id=1156793&representative=IPI00293398.3	23481828.75	21469843.125	15988217.517	14654312.61	13416100.747	12120257.133	9720559.46	8794366.992	8894546.129	8121623.01	P0140713A	1.0	0.914317	0.680876	0.62407	0.57134	0.516155	0.413961	0.374518	0.378784	0.345868	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	-0.129233650569	-0.554536013939	-0.680220234087	-0.807578557121	-0.954123726619	-1.27243323962	-1.41689303605	-1.40055270286	-1.53170655437	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.1824559484	15.7102173618	11.6991247191	10.7230609488	9.81701904647	8.86880602394	7.11286529228	6.43513863604	6.50844313148	5.94286889171	1	6.5336	n/d	
DHX15	n/d	n/d	HELICc, DEXDc, AAA	n/d	n/d	n/d	0	IPI00396435.3	 	P0140713A	46382	QV1_46382	R1	s01	F1	139	1	90933	4	3	4	0	0	0.88025	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46382&cluster_id=41109&representative=IPI00396435.3	20088618.268	17325431.494	12295141.487	13365508.469	8857263.232	6463294.03	5205118.632	5435548.021	3207365.636	3171451.908	P0140713A	1.0	0.86245	0.612045	0.665327	0.44091	0.321739	0.259108	0.270578	0.159661	0.157873	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	-0.213487275029	-0.708290365352	-0.58786451318	-1.18144389671	-1.63603727019	-1.94837453525	-1.88588355262	-2.64691614268	-2.66316363741	0.0	0.099	0.153	0.181	0.104	0.049	0.106	0.148	0.172	0.172	21.0539985962	18.1580238863	12.8859978399	14.0078024676	9.28290861846	6.77389463124	5.45525625055	5.69675917363	3.36149906863	3.3238594675	3	6.3249	1.1194	
GPAA1	n/d	n/d	n/d	transmembrane	n/d	n/d	0	IPI00021594.3	 	P0140713A	46382	QV1_46382	R1	s01	F1	36	2	67623	1	1	1	0	0	0.76	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46382&cluster_id=12868&representative=IPI00021594.3	19048039.856	16608398.625	11287541.459	11127510.895	5995374.112	4089397.571	2750866.036	1851541.445	2114960.657	1493882.755	P0140713A	1.0	0.871922	0.592583	0.584181	0.31475	0.214689	0.144417	0.097204	0.111033	0.078427	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	-0.197729014067	-0.754910855978	-0.775512658411	-1.66772171694	-2.21967982103	-2.79168751629	-3.362840507	-3.17093957272	-3.67250577446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.9425953592	21.7479892734	14.7805538701	14.5710006755	7.85068656057	5.35489161339	3.60214168713	2.42451451186	2.76945072916	1.95617571959	1	6.2119	n/d	
