clustername	focusname	focusgroup	domain	subcellular_location	complex	focussubclass	talistnumber	representative	samesetproteins	pname	msexperiment_id	quantanalrun	msruns	mssamples	msfractions	proteinscore	msrank	mw	totalpsm	qupm	qusm	qusmsfiltered	qusmscancelled	means2i	link2fcpage	sumionarea_protein_126	sumionarea_protein_127L	sumionarea_protein_127H	sumionarea_protein_128L	sumionarea_protein_128H	sumionarea_protein_129L	sumionarea_protein_129H	sumionarea_protein_130L	sumionarea_protein_130H	sumionarea_protein_131L	ref_BC_pname	rel_fc_protein_126	rel_fc_protein_127L	rel_fc_protein_127H	rel_fc_protein_128L	rel_fc_protein_128H	rel_fc_protein_129L	rel_fc_protein_129H	rel_fc_protein_130L	rel_fc_protein_130H	rel_fc_protein_131L	ic50	ic50confidence	inhibitn	hill	ic50final	qcval	link2curve	log2_rel_fc_protein_126	log2_rel_fc_protein_127L	log2_rel_fc_protein_127H	log2_rel_fc_protein_128L	log2_rel_fc_protein_128H	log2_rel_fc_protein_129L	log2_rel_fc_protein_129H	log2_rel_fc_protein_130L	log2_rel_fc_protein_130H	log2_rel_fc_protein_131L	deltaconf_126	deltaconf_127L	deltaconf_127H	deltaconf_128L	deltaconf_128H	deltaconf_129L	deltaconf_129H	deltaconf_130L	deltaconf_130H	deltaconf_131L	fractionabundance_126	fractionabundance_127L	fractionabundance_127H	fractionabundance_128L	fractionabundance_128H	fractionabundance_129L	fractionabundance_129H	fractionabundance_130L	fractionabundance_130H	fractionabundance_131L	ms1seqs	ms1intensity	ms1maxminusmin	
EDEM3	n/d	n/d	n/d	n/d	n/d	n/d	0	IPI00009410.2	 	P0140733A	46384	QV1_46384	R1	s01	F1	107	1	104664	4	2	2	2	0	0.8845	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46384&cluster_id=28882&representative=IPI00009410.2	10266867.844	10127786.268	4239981.038	6798624.061	4337138.127	4248667.516	2722075.623	3138490.696	1743354.663	2014423.202	P0140733A	1.0	0.986453	0.412977	0.662191	0.42244	0.413823	0.265132	0.305691	0.169804	0.196206	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	-0.0196777801598	-1.27586665927	-0.594680692041	-1.24318164781	-1.27291426346	-1.91521728868	-1.70985401714	-2.55805765065	-2.34955893489	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.6837303618	20.4035352857	8.54190643745	13.696573195	8.73764004016	8.55940629928	5.48391963996	6.32283343717	3.51217901334	4.05827629008	2	5.9764	0.0942	
TFRC	transferrin receptor protein	PROTEASE	n/d	transmembrane	n/d	Metalloproteinase	0	IPI00022462.2	 	P0140733A	46384	QV1_46384	R1	s01	F1	2626	1	84871	66	43	52	13	0	0.880038461538	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46384&cluster_id=1150714&representative=IPI00022462.2	2459929879.13	2574448597.17	1824962534.44	2767227876.78	1920367297.36	2208507424.07	1551065984.66	1828725630.7	1552156600.9	1711802621.65	P0140733A	1.0	1.045675	0.740698	1.122955	0.779168	0.895179	0.629613	0.743024	0.629742	0.695357	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	0.0644345258248	-0.433042653182	0.167300116004	-0.35999366694	-0.159751902352	-0.667462765538	-0.42851928369	-0.667167205254	-0.524174239505	0.0	0.066	0.095	0.108	0.087	0.117	0.083	0.086	0.097	0.089	12.0589559825	12.6203444154	8.94624804519	13.5653782015	9.41393691974	10.8264442982	7.6035648795	8.96469532395	7.60891124864	8.39152068535	43	8.5208	0.2186	
PIP5K3	PIP5K3	KINASE	PIPKc, FYVE, DEP	n/d	n/d	Lipid Kinase	0	IPI00396145.1	 	P0140733A	46384	QV1_46384	R1	s01	F1	48	2	237108	2	1	1	1	0	0.748	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46384&cluster_id=1148024&representative=IPI00396145.1	2531698.588	2827609.473	349101.675	376459.662	0.0	0.0	0.0	0.0	0.0	0.0	P0140733A	1.0	1.116882	0.137892	0.148698	0.0	0.0	0.0	0.0	0.0	0.0	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	0.159476771311	-2.85838933561	-2.74954285173	n/d	n/d	n/d	n/d	n/d	n/d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.6064573026	46.469517882	5.73720900427	6.1868158111	0.0	0.0	0.0	0.0	0.0	0.0	1	5.0144	n/d	
LRRC57	n/d	n/d	LRR_TYP, LRR	n/d	n/d	n/d	0	IPI00470576.4	 	P0140733A	46384	QV1_46384	R1	s01	F1	151	1	26754	3	3	3	0	0	0.844	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46384&cluster_id=30381&representative=IPI00470576.4	22454712.91	22231530.988	10395839.691	13879034.956	8563219.289	9625674.444	4036704.135	4230879.88	641929.705	1424897.932	P0140733A	1.0	0.990061	0.462969	0.61809	0.381355	0.428671	0.179771	0.188418	0.028588	0.063457	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	-0.0144106791028	-1.11101249977	-0.694111170835	-1.39079347962	-1.22205727412	-2.47576778555	-2.40799129942	-5.12844649639	-3.97807687191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0341545908	22.805213481	10.6641033223	14.237182102	8.78419232918	9.87406403603	4.14087089226	4.34005732345	0.65849463855	1.46166728443	3	5.7616	1.2404	
PLXDC2	n/d	n/d	PSI	transmembrane	n/d	n/d	0	IPI00044369.2	 	P0140733A	46384	QV1_46384	R1	s01	F1	115	1	59583	4	3	3	1	0	0.780666666667	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46384&cluster_id=1154863&representative=IPI00044369.2	58017926.393	74714846.852	34209711.644	56757744.356	36333769.132	40659763.454	21932598.599	25438858.246	18772859.935	20779452.905	P0140733A	1.0	1.287789	0.58964	0.978279	0.626251	0.700814	0.378031	0.438465	0.32357	0.358156	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	0.364896231969	-0.762093697584	-0.031682122027	-0.675187092877	-0.512896499274	-1.40342354903	-1.18946640921	-1.62785024131	-1.48133998392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.9678282523	19.2754044328	8.82563580399	14.6427185927	9.37361346632	10.4896605927	5.65830923932	6.56287607697	4.84314005653	5.36081348636	3	6.4988	0.3372	
WARS	n/d	n/d	n/d	n/d	n/d	n/d	0	IPI00295400.1	 	P0140733A	46384	QV1_46384	R1	s01	F1	103	1	53165	2	1	1	1	0	0.962	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46384&cluster_id=16729&representative=IPI00295400.1	2231819.282	2194269.174	633320.324	1164560.39	719887.848	575417.646	608942.197	430138.149	508181.109	580542.488	P0140733A	1.0	0.983175	0.283769	0.521799	0.322557	0.257824	0.272846	0.19273	0.227698	0.260121	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	-0.0244798633047	-1.81721110235	-0.938433915578	-1.63237396892	-1.95554152913	-1.87384120134	-2.3753469385	-2.13480647536	-1.94274521974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.1346646267	22.7454265005	6.56489233477	12.0716378237	7.46223677993	5.96468287905	6.31219275603	4.45873996184	5.26772020528	6.0178061323	1	6.6368	n/d	
S100A11	n/d	n/d	n/d	n/d	n/d	n/d	0	IPI00013895.1	 	P0140733A	46384	QV1_46384	R1	s01	F1	200	1	11740	3	3	3	0	0	0.933333333333	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46384&cluster_id=1176872&representative=IPI00013895.1	96188273.465	84493106.493	49119797.579	50804805.002	60801057.798	49480377.973	77053466.642	57796424.35	66894311.822	86493309.274	P0140733A	1.0	0.878414	0.510663	0.528181	0.632105	0.514412	0.801069	0.600868	0.695452	0.899208	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	-0.187027046954	-0.969556562272	-0.920895689821	-0.661763868135	-0.959003797209	-0.320001580505	-0.734880003554	-0.523977151294	-0.15327322402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.1635609532	12.4414673517	7.23280730546	7.4809218051	8.95285316096	7.28590216	11.3459929378	8.51042595596	9.85007453383	12.735993836	3	6.2604	1.2567	
AGK	n/d	n/d	DAGKc	n/d	n/d	n/d	0	IPI00019353.4	 	P0140733A	46384	QV1_46384	R1	s01	F1	37	2	47137	1	1	1	0	0	0.742	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46384&cluster_id=43915&representative=IPI00019353.4	42053330.364	43918952.682	10324153.345	15703517.67	10423379.972	13984125.664	7078207.104	6747970.935	3732126.155	4296588.842	P0140733A	1.0	1.044363	0.245501	0.373419	0.247861	0.332533	0.168315	0.160462	0.088747	0.10217	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	0.0626232514439	-2.0261991938	-1.42113275943	-2.01239680827	-1.58843057661	-2.5707643415	-2.63969641064	-3.49415783825	-3.29095645248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.5719102729	27.7507265143	6.52344235171	9.92245938394	6.58613990757	8.83604055071	4.47245158546	4.26378782981	2.3581894813	2.71485212232	1	6.4653	n/d	
PPT1	n/d	n/d	n/d	n/d	n/d	n/d	0	IPI00002412.1	 	P0140733A	46384	QV1_46384	R1	s01	F1	381	1	34193	10	5	5	5	0	0.8688	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46384&cluster_id=1164452&representative=IPI00002412.1	104308481.328	87232186.148	67049610.823	128709138.241	73471208.483	85115573.578	55025793.772	56038969.472	37152239.013	68792614.964	P0140733A	1.0	0.8377	0.642801	1.240162	0.704537	0.819604	0.527529	0.537243	0.356177	0.659511	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	-0.255494421371	-0.637555921484	0.310528589427	-0.505252620695	-0.287001069584	-0.922677689207	-0.896353314686	-1.48933373695	-0.600531372464	0.0	0.109	0.151	0.309	0.208	0.248	0.085	0.184	0.154	0.277	13.6727032925	11.4343511052	8.78882927818	16.8711291334	9.63056907106	11.1569065936	7.21275338399	7.34555994538	4.86989681192	9.01730138471	5	7.6168	0.4934	
MAT2A	n/d	n/d	n/d	n/d	n/d	n/d	0	IPI00010157.1	 	P0140733A	46384	QV1_46384	R1	s01	F1	92	1	43661	3	2	2	1	0	0.959	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46384&cluster_id=27821&representative=IPI00010157.1	64916465.126	78691347.943	27295865.361	41147080.274	47716185.791	44970326.474	50897038.508	50428845.668	51383771.416	68713841.407	P0140733A	1.0	1.212194	0.420477	0.633847	0.73504	0.692741	0.784039	0.776827	0.791537	1.058496	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	0.277620606765	-1.24990120735	-0.657793454806	-0.444105333059	-0.529612032363	-0.351002675614	-0.364334749834	-0.337271304893	0.0820158174881	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.3377623491	14.9557611919	5.18774242071	7.82024863482	9.06874641667	8.54687943529	9.67328649465	9.58430364597	9.76579299411	13.0594764168	2	6.6439	0.116	
