clustername	focusname	focusgroup	domain	subcellular_location	complex	focussubclass	talistnumber	representative	samesetproteins	pname	msexperiment_id	quantanalrun	msruns	mssamples	msfractions	proteinscore	msrank	mw	totalpsm	qupm	qusm	qusmsfiltered	qusmscancelled	means2i	link2fcpage	sumionarea_protein_126	sumionarea_protein_127L	sumionarea_protein_127H	sumionarea_protein_128L	sumionarea_protein_128H	sumionarea_protein_129L	sumionarea_protein_129H	sumionarea_protein_130L	sumionarea_protein_130H	sumionarea_protein_131L	ref_BC_pname	rel_fc_protein_126	rel_fc_protein_127L	rel_fc_protein_127H	rel_fc_protein_128L	rel_fc_protein_128H	rel_fc_protein_129L	rel_fc_protein_129H	rel_fc_protein_130L	rel_fc_protein_130H	rel_fc_protein_131L	ic50	ic50confidence	inhibitn	hill	ic50final	qcval	link2curve	log2_rel_fc_protein_126	log2_rel_fc_protein_127L	log2_rel_fc_protein_127H	log2_rel_fc_protein_128L	log2_rel_fc_protein_128H	log2_rel_fc_protein_129L	log2_rel_fc_protein_129H	log2_rel_fc_protein_130L	log2_rel_fc_protein_130H	log2_rel_fc_protein_131L	deltaconf_126	deltaconf_127L	deltaconf_127H	deltaconf_128L	deltaconf_128H	deltaconf_129L	deltaconf_129H	deltaconf_130L	deltaconf_130H	deltaconf_131L	fractionabundance_126	fractionabundance_127L	fractionabundance_127H	fractionabundance_128L	fractionabundance_128H	fractionabundance_129L	fractionabundance_129H	fractionabundance_130L	fractionabundance_130H	fractionabundance_131L	ms1seqs	ms1intensity	ms1maxminusmin	
MYCBP2	n/d	n/d	RING	n/d	n/d	n/d	0	IPI00289776.3	 	P0140743A	46385	QV1_46385	R1	s01	F1	330	1	510400	7	6	6	1	0	0.838666666667	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46385&cluster_id=1147762&representative=IPI00289776.3	106546088.429	92800740.325	151504231.732	153099623.445	90656752.018	79053971.868	3664085.499	4756408.636	2692930.397	2742205.199	P0140743A	1.0	0.870992	1.42196	1.434387	0.849763	0.74197	0.03439	0.045174	0.025275	0.025737	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	-0.199268627054	0.507880882248	0.520434318082	-0.23486756705	-0.430567239209	-4.86186707391	-4.46836352473	-5.30614509765	-5.28001229229	0.0	0.089	0.101	0.183	0.057	0.127	0.079	0.09	0.069	0.045	15.4972288118	13.497954997	22.0364330566	22.2684842824	13.1861098805	11.4984745905	0.532944683388	0.691824111438	0.391689260037	0.398856326351	6	6.3692	0.286	
SLC36A4	n/d	n/d	n/d	transmembrane	n/d	n/d	0	IPI00419349.1	 	P0140743A	46385	QV1_46385	R1	s01	F1	130	1	56157	3	2	3	0	0	0.847666666667	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46385&cluster_id=1162693&representative=IPI00419349.1	19762650.68	17270533.174	27216310.86	28270685.448	22770810.654	21744500.344	77982782.803	56717556.082	75281001.633	66717852.942	P0140743A	1.0	0.873898	1.377159	1.430511	1.152214	1.100283	3.945968	2.869937	3.809256	3.375957	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	-0.194463194431	0.461695135558	0.516530591394	0.204408692532	0.1378746421	1.98037925651	1.52101906764	1.92950924708	1.75529652837	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.77664827597	4.17430150674	6.57820382765	6.83304699821	5.50372291724	5.25566290483	18.8485001867	13.708678095	18.1954775443	16.1257577433	2	6.5945	1.1208	
FLG2	n/d	n/d	n/d	n/d	n/d	n/d	0	IPI00397801.4	 	P0140743A	46385	QV1_46385	R1	s01	F1	70	2	248073	1	1	1	0	0	0.854	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46385&cluster_id=1148848&representative=IPI00397801.4	1828129.968	3058368.236	3360420.92	4110758.825	7252510.61	2967556.847	1689527.068	2590032.54	5379617.676	3407068.744	P0140743A	1.0	1.672949	1.838174	2.248614	3.967175	1.623275	0.924183	1.416766	2.942689	1.863691	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	0.742393465359	0.878273337386	1.16903602747	1.98811203904	0.698907428431	-0.113749542974	0.502601495365	1.55713507817	0.898162680957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.12885873454	8.58031918693	9.42773461895	11.5328240739	20.347077637	8.32554584268	4.74000525763	7.26639311648	15.0926354192	9.55860611264	1	5.6791	n/d	
AXL	AXL	KINASE	TyrKc, IG, FN3	transmembrane	n/d	TK	0	IPI00296992.7	 	P0140743A	46385	QV1_46385	R1	s01	F1	104	1	98336	2	2	2	0	0	0.872	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46385&cluster_id=1151633&representative=IPI00296992.7	7355530.642	8098661.594	8416964.368	7624206.672	4071061.598	4047838.07	259290.438	137207.475	104435.205	0.0	P0140743A	1.0	1.10103	1.144304	1.036527	0.553469	0.550312	0.035251	0.018654	0.014198	0.0	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	0.138853778858	0.194470374695	0.0517576970154	-0.853425581492	-0.86167830674	-4.82619200532	-5.74437116726	-6.13816847084	n/d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.3360206706	20.188513055	20.9819848693	19.0057818992	10.1484275228	10.0905354264	0.646364628505	0.34203366422	0.26033826393	0.0	2	5.0715	0.272	
ARHGEF1	n/d	n/d	RhoGEF, PH	n/d	n/d	n/d	0	IPI00433169.2	 	P0140743A	46385	QV1_46385	R1	s01	F1	308	1	104066	6	5	5	1	0	0.8286	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46385&cluster_id=1149892&representative=IPI00433169.2	60657213.639	66839659.012	108620153.002	112235701.053	55148475.597	46004606.693	4895409.894	4088639.159	6518778.892	9923579.265	P0140743A	1.0	1.101924	1.790721	1.850327	0.907185	0.758436	0.081482	0.067406	0.107469	0.161447	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	0.140024724268	0.840540578379	0.887780254304	-0.140531308889	-0.398900649917	-3.61737479766	-3.89097917426	-3.21800752806	-2.63086746177	0.0	0.339	0.703	0.808	0.263	0.203	0.12	0.143	0.136	0.329	12.7717622787	14.0735154894	22.8706643381	23.6319409851	11.6118624332	9.6865626553	1.03075970148	0.860888989941	1.37257037311	2.08947275556	5	6.7745	0.7492	
TIMM17A	n/d	n/d	n/d	transmembrane	n/d	n/d	0	IPI00016207.1	 	P0140743A	46385	QV1_46385	R1	s01	F1	56	2	18024	1	1	1	0	0	0.65	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46385&cluster_id=12605&representative=IPI00016207.1	2177500.366	4010868.008	4193315.269	6256841.454	3853478.657	3431161.347	5753114.453	5841773.026	4686405.893	4386442.096	P0140743A	1.0	1.84196	1.925747	2.873405	1.76968	1.575734	2.642073	2.682789	2.152195	2.014439	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	0.881241732207	0.945418177833	1.52276135184	0.823488510506	0.656024013684	1.40167032854	1.42373359182	1.10580879945	1.01037811935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.88328411899	8.99481274614	9.40397080008	14.0316552798	8.64184981202	7.69475678494	12.9019920647	13.1008186681	10.5097807696	9.83707895563	1	6.1739	n/d	
RPAP3	n/d	n/d	TPR	n/d	n/d	n/d	0	IPI00002408.4	 	P0140743A	46385	QV1_46385	R1	s01	F1	140	1	75719	2	2	2	0	0	0.902	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46385&cluster_id=47888&representative=IPI00002408.4	21244684.757	20481943.705	32263728.494	32883584.269	20558339.885	19058553.474	2172946.689	3008622.289	1788366.057	1735768.911	P0140743A	1.0	0.964097	1.518673	1.54785	0.967693	0.897097	0.102282	0.141618	0.084179	0.081704	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	-0.0527497882881	0.602811262819	0.630265668678	-0.0473786689021	-0.156664107677	-3.28937581877	-2.81992344768	-3.57039581841	-3.61344947935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.6888908466	13.1974230218	20.7889485162	21.1883490318	13.2466484625	12.2802696855	1.40012574351	1.9385885262	1.15232341774	1.1184327482	2	5.9007	0.5996	
DDOST	n/d	n/d	n/d	transmembrane	n/d	n/d	0	IPI00297084.7	 	P0140743A	46385	QV1_46385	R1	s01	F1	206	1	50801	5	4	4	1	0	0.7385	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46385&cluster_id=29535&representative=IPI00297084.7	131334198.291	115436867.151	162993899.504	171815285.756	139217106.919	138148790.706	48483583.771	48869778.418	27331565.58	23820589.762	P0140743A	1.0	0.878955	1.241062	1.309177	1.060022	1.051887	0.369162	0.372102	0.208107	0.181374	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	-0.186138789517	0.311575190294	0.388660162034	0.084094207205	0.0729797300144	-1.43767403928	-1.4262299501	-2.26460260172	-2.46296043483	0.0	0.182	0.268	0.253	0.077	0.274	0.459	0.205	0.169	0.071	13.0362778426	11.4583032678	16.17883071	17.0544445534	13.8187380732	13.7126966372	4.81249725561	4.85083106954	2.71294063093	2.36443995968	4	6.9054	0.4485	
SLC9A1	n/d	n/d	n/d	transmembrane	n/d	n/d	0	IPI00020060.2	 	P0140743A	46385	QV1_46385	R1	s01	F1	678	1	90763	16	12	14	2	0	0.878571428571	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46385&cluster_id=1156772&representative=IPI00020060.2	501476940.114	412738788.188	572989800.457	583059506.131	491766337.282	452609513.244	73659881.336	66306974.906	40728957.495	36104247.53	P0140743A	1.0	0.824682	1.144158	1.163099	0.981361	0.903043	0.147233	0.132061	0.081807	0.071772	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	-0.278090176092	0.194286291694	0.217973900535	-0.0271441560924	-0.147133409053	-2.76382702947	-2.92072361932	-3.61163189388	-3.80043506634	0.0	0.077	0.115	0.11	0.112	0.118	0.119	0.092	0.096	0.08	15.5186787686	12.7725926297	17.7317119487	18.0433285259	15.2181749689	14.0064299708	2.2794747777	2.05193212564	1.26039615661	1.11728012753	12	7.5715	0.2349	
ATP13A3	n/d	n/d	n/d	n/d	n/d	n/d	0	IPI00234337.4	 	P0140743A	46385	QV1_46385	R1	s01	F1	91	2	15572	1	1	1	0	0	0.965	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46385&cluster_id=1181107&representative=IPI00234337.4	164908306.467	130214956.218	165941773.922	173878884.689	191298888.081	183826271.456	5611538.125	6865096.221	2066106.916	2550982.792	P0140743A	1.0	0.78962	1.006267	1.054397	1.160032	1.114718	0.034028	0.04163	0.012529	0.015469	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	-0.340769563128	0.00901315650281	0.0764181706679	0.214164603288	0.156678785071	-4.87713383056	-4.5862326313	-6.31858491898	-6.0144762536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0547389063	12.677148705	16.155352699	16.9280744846	18.624008499	17.8965077962	0.546314381547	0.668355219673	0.20114697555	0.248352333229	1	7.346	n/d	
