clustername	focusname	focusgroup	domain	subcellular_location	complex	focussubclass	talistnumber	representative	samesetproteins	pname	msexperiment_id	quantanalrun	msruns	mssamples	msfractions	proteinscore	msrank	mw	totalpsm	qupm	qusm	qusmsfiltered	qusmscancelled	means2i	link2fcpage	sumionarea_protein_126	sumionarea_protein_127L	sumionarea_protein_127H	sumionarea_protein_128L	sumionarea_protein_128H	sumionarea_protein_129L	sumionarea_protein_129H	sumionarea_protein_130L	sumionarea_protein_130H	sumionarea_protein_131L	ref_BC_pname	rel_fc_protein_126	rel_fc_protein_127L	rel_fc_protein_127H	rel_fc_protein_128L	rel_fc_protein_128H	rel_fc_protein_129L	rel_fc_protein_129H	rel_fc_protein_130L	rel_fc_protein_130H	rel_fc_protein_131L	ic50	ic50confidence	inhibitn	hill	ic50final	qcval	link2curve	log2_rel_fc_protein_126	log2_rel_fc_protein_127L	log2_rel_fc_protein_127H	log2_rel_fc_protein_128L	log2_rel_fc_protein_128H	log2_rel_fc_protein_129L	log2_rel_fc_protein_129H	log2_rel_fc_protein_130L	log2_rel_fc_protein_130H	log2_rel_fc_protein_131L	deltaconf_126	deltaconf_127L	deltaconf_127H	deltaconf_128L	deltaconf_128H	deltaconf_129L	deltaconf_129H	deltaconf_130L	deltaconf_130H	deltaconf_131L	fractionabundance_126	fractionabundance_127L	fractionabundance_127H	fractionabundance_128L	fractionabundance_128H	fractionabundance_129L	fractionabundance_129H	fractionabundance_130L	fractionabundance_130H	fractionabundance_131L	ms1seqs	ms1intensity	ms1maxminusmin	
ch-TOG	n/d	n/d	n/d	n/d	n/d	n/d	0	IPI00028275.2	 	P0140753A	46386	QV1_46386	R1	s01	F1	156	1	225495	5	3	3	2	0	0.869666666667	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46386&cluster_id=26728&representative=IPI00028275.2	41505924.597	37657195.318	5435760.085	5542699.119	2600195.319	2773437.089	1198055.409	947259.178	258160.017	96149.687	P0140753A	1.0	0.907273	0.130963	0.13354	0.062646	0.06682	0.028865	0.022822	0.00622	0.002317	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	-0.140391369399	-2.93276881943	-2.90465614954	-3.99663379458	-3.9035762071	-5.11453496443	-5.45343096241	-7.32886970431	-8.75352624046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.3465736086	38.4198932781	5.54585440014	5.65495934645	2.65285892416	2.82960948295	1.2223204773	0.966444691862	0.263388715438	0.0980970749964	3	5.6879	0.8468	
SLC2A9	n/d	n/d	n/d	transmembrane	n/d	n/d	0	IPI00024031.1	 	P0140753A	46386	QV1_46386	R1	s01	F1	549	1	58817	13	10	11	2	0	0.922363636364	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46386&cluster_id=1166263&representative=IPI00024031.1	391867616.62	343482227.306	243744584.083	232666486.103	244082112.549	218273731.362	206194664.039	177946206.741	179354795.425	180500770.049	P0140753A	1.0	0.877875	0.623556	0.592985	0.626765	0.559554	0.52935	0.456443	0.460288	0.46276	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	-0.187912564829	-0.681408964192	-0.753932483707	-0.674003476239	-0.83765072906	-0.917706164049	-1.13149338528	-1.11939126381	-1.11166392857	0.0	0.091	0.122	0.131	0.148	0.11	0.154	0.142	0.138	0.147	16.2055117001	14.2045553582	10.0799493034	9.62181946874	10.0939076436	9.02661347197	8.52708899348	7.35888655511	7.41713811618	7.46452938912	10	8.0696	0.1964	
YWHAB	n/d	n/d	14_3_3	n/d	n/d	n/d	0	IPI00216318.5	 	P0140753A	46386	QV1_46386	R1	s01	F1	161	1	28082	3	2	2	1	0	0.9645	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46386&cluster_id=12984&representative=IPI00216318.5	137921662.724	127603215.493	81667895.48	88098260.944	62911680.684	56202769.148	24322878.472	18886828.779	23096655.232	24455121.777	P0140753A	1.0	0.925186	0.592132	0.638756	0.456141	0.407498	0.176353	0.136939	0.167462	0.177312	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	-0.112184659743	-0.756009272889	-0.646663157167	-1.13244824296	-1.29513511627	-2.50346197675	-2.86839471262	-2.57809433443	-2.49563791762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.3776695659	19.7783243218	12.6584123859	13.6551102604	9.75122468026	8.71135254466	3.77001298125	2.92743269484	3.5799500519	3.79051051312	2	6.7974	0.18	
HSPA5	n/d	n/d	n/d	n/d	HCF1*, ICEN*	n/d	0	IPI00003362.2	 	P0140753A	46386	QV1_46386	R1	s01	F1	2579	1	72422	62	37	50	12	0	0.8866	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46386&cluster_id=67399&representative=IPI00003362.2	2606931709.2	2167026888.91	2032735285.25	2417509589.21	1992851717.7	2014519697.32	2033591718.77	1638482104.12	2231664737.55	2151220995.42	P0140753A	1.0	0.829073	0.778592	0.926307	0.765029	0.771545	0.779705	0.628402	0.855013	0.824379	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	-0.270428958062	-0.361060573757	-0.110437678967	-0.386413657718	-0.374177791126	-0.358999708782	-0.670240322617	-0.225981739342	-0.278620340352	0.0	0.085	0.073	0.114	0.1	0.144	0.132	0.108	0.194	0.167	12.246858295	10.1802709815	9.54939513828	11.3569900053	9.36202989263	9.46382184791	9.55341849642	7.69727034935	10.4839270266	10.1060179671	37	8.4793	0.1694	
CD180	n/d	n/d	LRRCT, LRR	transmembrane	n/d	n/d	0	IPI00023722.1	 	P0140753A	46386	QV1_46386	R1	s01	F1	257	1	74165	5	4	4	1	0	0.7255	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46386&cluster_id=26468&representative=IPI00023722.1	42674496.26	39298735.643	33141452.088	31507042.069	30095225.713	26802354.226	21159679.934	20053240.567	18471338.839	20287953.729	P0140753A	1.0	0.920895	0.77661	0.738311	0.705227	0.628065	0.495839	0.469912	0.432843	0.475412	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	-0.11889142458	-0.364737810693	-0.437699441683	-0.503840384806	-0.671014219966	-1.01205634445	-1.08953748501	-1.20808426669	-1.0727497757	0.0	0.164	0.247	0.143	0.292	0.225	0.257	0.321	0.314	0.282	15.0531826844	13.8624025763	11.6904562778	11.1139275604	10.615917475	9.45437603005	7.46395518411	7.07366507221	6.51565835187	7.1564587878	4	7.0704	0.6475	
RAP2C	n/d	n/d	RAS	n/d	n/d	n/d	0	IPI00009607.1	 	P0140753A	46386	QV1_46386	R1	s01	F1	43	2	20745	1	1	1	0	0	0.527	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46386&cluster_id=1164812&representative=IPI00009607.1	1104362.414	905493.349	542969.717	680159.682	798739.046	854745.106	1603205.91	1014809.428	1410247.808	1723197.32	P0140753A	1.0	0.819924	0.491659	0.615884	0.723258	0.773972	1.451703	0.91891	1.276979	1.560355	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	-0.286437904552	-1.02427004268	-0.699269445889	-0.467417718908	-0.36964671998	0.537746326436	-0.122004527075	0.352734800025	0.64187429734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.3813658939	8.51193199924	5.10409194485	6.39372223794	7.50840682838	8.03488200878	15.070657009	9.53953869773	13.2567880891	16.1986152911	1	5.2915	n/d	
ADCY9	n/d	n/d	CYCc	transmembrane	n/d	n/d	0	IPI00030099.2	 	P0140753A	46386	QV1_46386	R1	s01	F1	2290	1	150701	53	37	42	10	0	0.90730952381	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46386&cluster_id=36842&representative=IPI00030099.2	3116033242.17	2896902955.26	1773361727.76	1733394306.0	1195685321.4	1087863808.07	159976709.479	142857223.141	98786632.509	92273921.536	P0140753A	1.0	0.930552	0.569509	0.556915	0.383707	0.348911	0.051088	0.045766	0.031091	0.029642	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	-0.103841323382	-0.812209453739	-0.844470944048	-1.3819230105	-1.51906901328	-4.29087173175	-4.4495799855	-5.00735917001	-5.07621339757	0.0	0.043	0.047	0.045	0.052	0.049	0.022	0.016	0.03	0.02	25.3395040996	23.5575421076	14.4209330512	14.0959189808	9.7232830168	8.84648117722	1.30092658539	1.16171135226	0.803330415598	0.750369213463	37	7.6629	0.1353	
NAG	n/d	n/d	n/d	n/d	n/d	n/d	0	IPI00333913.8	 	P0140753A	46386	QV1_46386	R1	s01	F1	327	1	268585	6	4	4	2	0	0.79075	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46386&cluster_id=1147982&representative=IPI00333913.8	41401385.887	39964805.456	1666172.527	1920570.853	1317633.252	1106275.568	550148.905	343625.259	574767.892	467201.187	P0140753A	1.0	0.965301	0.040244	0.046389	0.031826	0.026721	0.013288	0.0083	0.013883	0.011285	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	-0.0509492214225	-4.63508248271	-4.43007344319	-4.97365034423	-5.2258821899	-6.23373221136	-6.9126729482	-6.17053683386	-6.46944977124	0.0	0.029	0.161	0.145	0.092	0.087	0.069	0.018	0.036	0.036	46.3556004555	44.747114482	1.86555175139	2.15039214753	1.47530521667	1.23865583543	0.61598138045	0.384744492759	0.643546349606	0.523107888611	4	5.8766	0.5455	
STAT6	n/d	n/d	SH2	n/d	n/d	n/d	0	IPI00030782.1	 	P0140753A	46386	QV1_46386	R1	s01	F1	47	2	94135	1	1	1	0	0	0.94	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46386&cluster_id=67451&representative=IPI00030782.1	16231978.475	13892922.893	2760998.822	2866773.506	1262622.088	757435.458	456609.478	405703.438	572827.42	496883.086	P0140753A	1.0	0.855898	0.170096	0.176613	0.077786	0.046663	0.02813	0.024994	0.03529	0.030611	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	-0.224489218427	-2.55557888009	-2.50133655516	-3.68434566886	-4.4215771275	-5.15174663712	-5.32227438325	-4.82459675966	-5.02980601419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.8816994649	34.9905773517	6.95382415876	7.22022722533	3.18002742665	1.90766940738	1.15001208763	1.02180064185	1.44271743988	1.25144479598	1	5.8306	n/d	
OPA3	n/d	n/d	n/d	n/d	n/d	n/d	0	IPI00018600.1	 	P0140753A	46386	QV1_46386	R1	s01	F1	32	2	19996	1	1	1	0	0	0.739	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46386&cluster_id=77126&representative=IPI00018600.1	6876861.898	6488309.039	2937586.022	3375885.701	3564641.591	2820584.892	2717736.036	1874343.082	3185582.896	12149356.254	P0140753A	1.0	0.943499	0.42717	0.490905	0.518353	0.410156	0.3952	0.272558	0.463232	1.766701	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	-0.083907106151	-1.22711776427	-1.02648423387	-0.947993182492	-1.28575536169	-1.33934514796	-1.87536482864	-1.11019317695	0.821057895963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.952661897	14.1078144047	6.38732189651	7.34033607752	7.75075627296	6.13292121718	5.90929244681	4.0754662228	6.92655235706	26.4168772075	1	5.7975	n/d	
